iter	Logloss
0	0.6885487592
1	0.6838520191
2	0.6778031808
3	0.6723778336
4	0.6678342466
5	0.6628477308
6	0.6573248969
7	0.6527026141
8	0.6482397009
9	0.6424265261
10	0.637383567
11	0.6330052129
12	0.6284045467
13	0.6235736564
14	0.6190800843
15	0.614634196
16	0.6102869952
17	0.6051837073
18	0.6004187266
19	0.5965215188
20	0.5914584972
21	0.5867810426
22	0.5827793545
23	0.5785394951
24	0.5740826218
25	0.5699431808
26	0.5658473969
27	0.5615765607
28	0.5574804589
29	0.5540549314
30	0.5507527104
31	0.5470604367
32	0.5435673043
33	0.5403438851
34	0.5361898917
35	0.5322234542
36	0.5285171579
37	0.5251704322
38	0.5220549548
39	0.5185388282
40	0.5145704128
41	0.5114042494
42	0.5083620283
43	0.5049190168
44	0.5027181131
45	0.4996326235
46	0.496609158
47	0.4937336886
48	0.4906030937
49	0.4872235192
50	0.4843492861
51	0.4808392701
52	0.4777396167
53	0.4748547165
54	0.4716540443
55	0.4680733857
56	0.4653594406
57	0.4627470794
58	0.459811246
59	0.457359314
60	0.4545750088
61	0.4521784959
62	0.4492869554
63	0.4464238485
64	0.4443105062
65	0.4415816554
66	0.4393704379
67	0.4368759791
68	0.4338716931
69	0.431219984
70	0.428699776
71	0.4261370765
72	0.4244082416
73	0.4221407926
74	0.4195423126
75	0.4168058325
76	0.4144807038
77	0.4123925456
78	0.410237277
79	0.4077515426
80	0.4057218764
81	0.4033624155
82	0.4010813678
83	0.3986478735
84	0.3967449753
85	0.3945878347
86	0.392171118
87	0.3901083204
88	0.388569302
89	0.3869177854
90	0.3851767646
91	0.3828099922
92	0.3807254367
93	0.3787207427
94	0.3761799071
95	0.3748647902
96	0.3725845902
97	0.3707833113
98	0.369002978
99	0.3672523499
100	0.3656741955
101	0.3640438362
102	0.3626054834
103	0.3605853893
104	0.3589701476
105	0.3572370035
106	0.3554311682
107	0.3538504706
108	0.352245684
109	0.3508787155
110	0.3489990941
111	0.3475192035
112	0.3459889447
113	0.344396238
114	0.3423119298
115	0.340860932
116	0.3394125479
117	0.3378890002
118	0.3364204831
119	0.3352453444
120	0.3341101187
121	0.332786772
122	0.3310770459
123	0.3295250645
124	0.3278230738
125	0.3262890357
126	0.3250372851
127	0.3235979787
128	0.3223827503
129	0.3211949666
130	0.320005876
131	0.3187981711
132	0.3176693387
133	0.3163777811
134	0.3149046368
135	0.3132254283
136	0.3115730992
137	0.3103884944
138	0.3091602679
139	0.3078435968
140	0.3066230703
141	0.3055108388
142	0.3043237262
143	0.3031362957
144	0.3013681482
145	0.3001759847
146	0.2990036717
147	0.2974248109
148	0.2959960655
149	0.2947867888
150	0.2934942599
151	0.2923047101
152	0.2914490523
153	0.2904276495
154	0.289379791
155	0.2883723047
156	0.2873415241
157	0.2863852889
158	0.2852535424
159	0.2843233744
160	0.283128085
161	0.2819690351
162	0.2809712445
163	0.2800334118
164	0.278956219
165	0.2781751068
166	0.2771301976
167	0.2760182133
168	0.2751336981
169	0.274313962
170	0.2732474892
171	0.2723146015
172	0.2712660719
173	0.2701650549
174	0.2690746343
175	0.2682884004
176	0.2673990108
177	0.2664977533
178	0.2654531973
179	0.2647838593
180	0.2638110231
181	0.2629327421
182	0.2622443305
183	0.2616541827
184	0.2608837198
185	0.2602251194
186	0.2594290663
187	0.2587646202
188	0.2578608901
189	0.2572133629
190	0.2564539026
191	0.2556481008
192	0.2547536426
193	0.2539193012
194	0.252987685
195	0.2522597666
196	0.2517069534
197	0.2505696261
198	0.2496256122
199	0.2488678473
200	0.2481504899
201	0.2473995774
202	0.2465507543
203	0.2459740639
204	0.2451317575
205	0.2443893751
206	0.2437136615
207	0.2430125696
208	0.2425226635
209	0.2417210473
210	0.2411211862
211	0.2403602423
212	0.2397370162
213	0.2391316802
214	0.2386955685
215	0.2380098414
216	0.237241586
217	0.2364577894
218	0.2358047167
219	0.2350412122
220	0.2345205236
221	0.2337857352
222	0.2330704089
223	0.2325569435
224	0.2320175701
225	0.23135104
226	0.2305834028
227	0.2300375303
228	0.2293444386
229	0.2286419339
230	0.2280078817
231	0.2273293954
232	0.2263763922
233	0.2256763953
234	0.2251656144
235	0.224493168
236	0.2238131276
237	0.2231282481
238	0.2224781072
239	0.2217244396
240	0.2212412622
241	0.220701147
242	0.2202773977
243	0.2198341158
244	0.2192352083
245	0.2186818299
246	0.2181278865
247	0.2177392112
248	0.217261597
249	0.2165601165
250	0.215842406
251	0.2153393428
252	0.2147558707
253	0.2143802996
254	0.2139018377
255	0.2134236936
256	0.2130240511
257	0.2121890386
258	0.2115433658
259	0.2108514044
260	0.2103652601
261	0.2099179162
262	0.2092846411
263	0.2086812832
264	0.20816531
265	0.2075930878
266	0.2068024035
267	0.2064620124
268	0.2058499831
269	0.2055049296
270	0.2050183791
271	0.2043213491
272	0.2038563976
273	0.2034506798
274	0.2026314735
275	0.2023341921
276	0.2017468346
277	0.2012564518
278	0.2008231658
279	0.2003401121
280	0.1997620971
281	0.1992882976
282	0.1987127198
283	0.1981802517
284	0.1976106079
285	0.1971972077
286	0.1967263752
287	0.1962457586
288	0.1958351842
289	0.1955126833
290	0.1949520464
291	0.1944072511
292	0.1939656999
293	0.1934051514
294	0.1930141096
295	0.1925740772
296	0.1921827175
297	0.1917362566
298	0.1912321868
299	0.1908517414
300	0.1904737684
301	0.1899487531
302	0.1894753244
303	0.189077448
304	0.1886996163
305	0.1882737301
306	0.1880017563
307	0.1876595815
308	0.187169958
309	0.1869203426
310	0.1864702083
311	0.1858896679
312	0.1853600608
313	0.1849386074
314	0.1845291279
315	0.1842187599
316	0.1837167563
317	0.1833614067
318	0.1829383108
319	0.1824731827
320	0.1820862028
321	0.1818037033
322	0.1815871486
323	0.1810342471
324	0.1805675295
325	0.1803518048
326	0.1800139392
327	0.1795199359
328	0.1790456065
329	0.178699776
330	0.1782847864
331	0.1778315085
332	0.1775538833
333	0.1771817031
334	0.1768984265
335	0.1765005324
336	0.1762494688
337	0.1758096836
338	0.1754905913
339	0.1751213427
340	0.1748065948
341	0.1743724964
342	0.1738927276
343	0.1735964175
344	0.1732712675
345	0.172892182
346	0.1726344426
347	0.1720837134
348	0.1717557907
349	0.1713884142
350	0.1710445969
351	0.1706643988
352	0.1704432523
353	0.1699957848
354	0.1697586907
355	0.1695450677
356	0.1692820302
357	0.1689971641
358	0.1687718851
359	0.1683790242
360	0.1681139557
361	0.1677214658
362	0.1673603764
363	0.1670592979
364	0.1666096581
365	0.1661829065
366	0.1658346741
367	0.165344927
368	0.16505803
369	0.1648128651
370	0.1645264979
371	0.1643043624
372	0.1638960662
373	0.1637056139
374	0.1632075133
375	0.1629261441
376	0.1625304399
377	0.162299845
378	0.1618503641
379	0.1616214823
380	0.1612803141
381	0.1609583961
382	0.1606661125
383	0.1603850965
384	0.1601261916
385	0.159775469
386	0.159405514
387	0.1590500761
388	0.1587218355
389	0.1584743747
390	0.1581382045
391	0.1578393159
392	0.1575927028
393	0.1573403853
394	0.1570446933
395	0.1566851581
396	0.1564935931
397	0.1563364665
398	0.1560763253
399	0.1557394134
400	0.1554944427
401	0.1552087643
402	0.1550751086
403	0.1548206011
404	0.1543879332
405	0.1539399712
406	0.1535849748
407	0.1531532076
408	0.1528204812
409	0.1525086297
410	0.1523290917
411	0.1521483351
412	0.1518668069
413	0.1515617194
414	0.1513429041
415	0.151053358
416	0.1507748321
417	0.150562463
418	0.1503209715
419	0.1501967465
420	0.1499803331
421	0.1497239537
422	0.1494798307
423	0.1493103946
424	0.1490894424
425	0.1488253452
426	0.1486443414
427	0.1482556661
428	0.1478901263
429	0.14753075
430	0.1471339508
431	0.1470083042
432	0.1467127977
433	0.1463868353
434	0.1462475989
435	0.1459214334
436	0.1457258772
437	0.1454643144
438	0.1452528901
439	0.1451059182
440	0.1448619631
441	0.1446311827
442	0.144306227
443	0.1440445052
444	0.1438960499
445	0.1437138363
446	0.14363137
447	0.1433140437
448	0.1430465734
449	0.1428412508
450	0.1426374294
451	0.142478625
452	0.1422867598
453	0.142007192
454	0.1416149316
455	0.1413798509
456	0.1410953645
457	0.1408366627
458	0.1406978854
459	0.1404461861
460	0.1402547801
461	0.1398675883
462	0.1396902314
463	0.1394412782
464	0.1392143302
465	0.1389328109
466	0.1387446721
467	0.1384973173
468	0.1381984463
469	0.1380300345
470	0.1377316934
471	0.1375160394
472	0.1372843583
473	0.1371094562
474	0.1368988708
475	0.136680709
476	0.1364329833
477	0.1363291122
478	0.1360656862
479	0.1358141546
480	0.1356389169
481	0.1354076421
482	0.1352830816
483	0.1350697411
484	0.1348982299
485	0.1347321051
486	0.1345396925
487	0.134390204
488	0.1341027419
489	0.1338569941
490	0.1335515799
491	0.1333583284
492	0.1330858778
493	0.1327964818
494	0.1325439612
495	0.1321465351
496	0.1320116078
497	0.1317909559
498	0.1315222493
499	0.1312806518
500	0.131160895
501	0.1310375355
502	0.1307278916
503	0.1305507112
504	0.1304589731
505	0.1301225026
506	0.1299167209
507	0.129793591
508	0.1296683947
509	0.1294331021
510	0.1292005998
511	0.128950225
512	0.1287612385
513	0.1285665477
514	0.1283538077
515	0.1281230185
516	0.127924407
517	0.1277695232
518	0.1275077661
519	0.1273403168
520	0.1271521515
521	0.1269169384
522	0.1267682005
523	0.1266416091
524	0.1263977333
525	0.126120479
526	0.1258339529
527	0.1256750778
528	0.1254417278
529	0.1252693512
530	0.1250254137
531	0.1248010529
532	0.1246161108
533	0.1244276011
534	0.1242318948
535	0.1239975823
536	0.1238603945
537	0.1236370405
538	0.1234331131
539	0.1233055327
540	0.1231409355
541	0.1228861985
542	0.1226705445
543	0.1224936379
544	0.1222740014
545	0.1220766527
546	0.1218331655
547	0.1215556463
548	0.1214320483
549	0.1212096038
550	0.1208613537
551	0.1206121886
552	0.1203795716
553	0.1200889481
554	0.1199583831
555	0.1198003204
556	0.1195824764
557	0.1194484852
558	0.1192231531
559	0.1190958376
560	0.1188588584
561	0.1186956653
562	0.1184813535
563	0.1183570049
564	0.1180894816
565	0.1178783311
566	0.1177640314
567	0.1175292333
568	0.1173802482
569	0.1172570917
570	0.1170980312
571	0.1168973976
572	0.1168373779
573	0.1167534192
574	0.116646696
575	0.1163985818
576	0.1162296048
577	0.1160670475
578	0.1159125169
579	0.1157152741
580	0.1154454814
581	0.1152191869
582	0.1150012634
583	0.1148061841
584	0.1146083761
585	0.1143274925
586	0.1141485373
587	0.113960637
588	0.1137637474
