iter	Passed	Remaining
0	4	4592
1	9	4963
2	13	4602
3	28	6995
4	32	6489
5	37	6190
6	44	6295
7	48	6068
8	60	6686
9	65	6465
10	68	6152
11	84	6942
12	87	6613
13	92	6509
14	96	6331
15	98	6062
16	100	5806
17	102	5591
18	105	5472
19	126	6216
20	129	6033
21	131	5856
22	140	5961
23	142	5802
24	145	5667
25	146	5506
26	148	5360
27	150	5224
28	152	5094
29	154	5004
30	156	4897
31	158	4797
32	161	4718
33	163	4631
34	165	4559
35	168	4517
36	171	4460
37	173	4394
38	175	4325
39	177	4258
40	179	4189
41	180	4121
42	182	4060
43	184	4011
44	186	3951
45	187	3893
46	189	3837
47	190	3786
48	192	3738
49	194	3692
50	195	3646
51	197	3604
52	200	3581
53	202	3550
54	204	3513
55	206	3473
56	207	3437
57	209	3406
58	211	3374
59	213	3349
60	215	3321
61	217	3286
62	218	3255
63	220	3228
64	222	3203
65	224	3177
66	226	3151
67	227	3124
68	230	3105
69	232	3083
70	233	3057
71	235	3031
72	236	3005
73	238	2982
74	239	2957
75	241	2934
76	242	2912
77	244	2891
78	246	2872
79	248	2853
80	250	2839
81	252	2823
82	254	2814
83	256	2795
84	257	2772
85	259	2752
86	261	2742
87	263	2725
88	264	2708
89	266	2690
90	267	2673
91	269	2655
92	270	2639
93	272	2625
94	274	2612
95	277	2609
96	279	2598
97	280	2585
98	282	2573
99	284	2561
100	286	2548
101	288	2536
102	290	2526
103	292	2522
104	295	2516
105	297	2509
106	300	2510
107	304	2511
108	307	2517
109	310	2510
110	312	2501
111	314	2490
112	315	2480
113	317	2467
114	319	2454
115	320	2442
116	322	2433
117	324	2426
118	326	2418
119	328	2409
120	331	2404
121	332	2395
122	334	2384
123	336	2380
124	339	2379
125	342	2373
126	344	2365
127	346	2360
128	349	2357
129	351	2350
130	353	2342
131	355	2335
132	357	2327
133	358	2318
134	361	2318
135	363	2310
136	365	2301
137	367	2294
138	369	2286
139	371	2281
140	373	2274
141	375	2267
142	376	2257
143	382	2274
144	384	2267
145	386	2261
146	388	2254
147	390	2248
148	392	2242
149	394	2236
150	396	2229
151	398	2222
152	401	2221
153	403	2215
154	405	2209
155	407	2206
156	409	2200
157	411	2193
158	413	2187
159	417	2190
160	419	2185
161	421	2179
162	423	2174
163	427	2177
164	429	2172
165	431	2170
166	434	2166
167	436	2159
168	438	2155
169	442	2158
170	444	2157
171	446	2151
172	449	2147
173	451	2142
174	453	2138
175	456	2137
176	458	2131
177	460	2126
178	463	2126
179	465	2120
180	468	2119
181	472	2124
182	474	2120
183	476	2114
184	480	2114
185	483	2115
186	487	2119
187	489	2114
188	492	2112
189	495	2113
190	499	2114
191	501	2110
192	503	2105
193	505	2099
194	507	2094
195	509	2088
196	513	2092
197	515	2086
198	517	2084
199	519	2077
200	521	2071
201	522	2064
202	524	2059
203	528	2062
204	530	2057
205	532	2052
206	534	2047
207	536	2043
208	538	2039
209	542	2039
210	544	2035
211	545	2029
212	548	2025
213	549	2019
214	551	2014
215	553	2009
216	556	2009
217	558	2004
218	560	1998
219	562	1993
220	564	1988
221	565	1983
222	567	1976
223	568	1971
224	570	1966
225	573	1963
226	575	1958
227	577	1953
228	578	1948
229	580	1944
230	582	1938
231	584	1933
232	585	1928
233	588	1925
234	589	1919
235	591	1913
236	592	1908
237	594	1902
238	595	1896
239	597	1891
240	598	1885
241	600	1880
242	601	1875
243	605	1874
244	606	1869
245	608	1864
246	609	1859
247	611	1854
248	613	1849
249	615	1847
250	617	1843
251	620	1840
252	621	1836
253	623	1831
254	625	1827
255	627	1823
256	629	1819
257	632	1817
258	634	1816
259	637	1813
260	639	1811
261	643	1811
262	645	1809
263	647	1804
264	650	1802
265	652	1799
266	654	1795
267	655	1790
268	657	1786
269	659	1782
270	661	1779
271	663	1775
272	666	1773
273	667	1769
274	669	1765
275	671	1760
276	672	1756
277	674	1752
278	676	1748
279	678	1744
280	679	1739
281	682	1737
282	684	1733
283	685	1728
284	687	1724
285	689	1721
286	692	1720
287	694	1716
288	696	1713
289	698	1710
290	700	1706
291	701	1701
292	703	1697
293	705	1694
294	707	1690
295	708	1686
296	710	1682
297	713	1680
298	715	1676
299	716	1672
300	718	1668
301	721	1666
302	722	1662
303	725	1659
304	726	1656
305	729	1654
306	731	1650
307	733	1647
308	735	1643
309	736	1640
310	738	1636
311	740	1632
312	742	1628
313	744	1626
314	746	1623
315	748	1619
316	750	1617
317	753	1616
318	755	1613
319	757	1610
320	760	1608
321	762	1605
322	765	1604
323	767	1601
324	769	1597
325	771	1594
326	772	1590
327	775	1589
328	777	1586
329	779	1582
330	781	1579
331	783	1575
332	785	1573
333	787	1570
334	789	1567
335	792	1565
336	793	1561
337	795	1558
338	797	1554
339	798	1550
340	800	1547
341	802	1544
342	804	1540
343	807	1539
344	809	1536
345	811	1533
346	813	1529
347	814	1526
348	816	1523
349	818	1519
350	820	1516
351	822	1514
352	826	1515
353	828	1512
354	830	1508
355	832	1505
356	834	1502
357	836	1500
358	838	1497
359	840	1494
360	842	1491
361	844	1488
362	847	1486
363	848	1483
364	850	1480
365	853	1479
366	855	1476
367	858	1474
368	860	1472
369	862	1469
370	864	1466
371	866	1463
372	870	1462
373	872	1459
374	874	1456
375	876	1453
376	877	1450
377	881	1450
378	883	1448
379	886	1446
380	888	1443
381	890	1440
382	892	1437
383	894	1434
384	896	1432
385	898	1429
386	901	1427
387	903	1424
388	905	1422
389	907	1419
390	909	1416
391	911	1413
392	913	1410
393	916	1409
394	918	1406
395	921	1404
396	923	1402
397	925	1399
398	927	1397
399	933	1400
400	935	1398
401	938	1396
402	941	1394
403	944	1392
404	947	1391
405	949	1389
406	953	1388
407	956	1387
408	958	1384
409	960	1381
410	964	1381
411	966	1379
412	970	1379
413	974	1379
414	978	1379
415	981	1378
416	984	1376
417	987	1374
418	989	1372
419	992	1370
420	996	1370
421	998	1367
422	1000	1364
423	1002	1361
424	1004	1358
425	1006	1356
426	1009	1354
427	1011	1351
428	1015	1351
429	1017	1348
430	1019	1345
431	1021	1343
432	1023	1339
433	1025	1338
434	1027	1335
435	1029	1332
436	1031	1329
437	1034	1326
438	1036	1323
439	1037	1320
440	1040	1319
441	1043	1317
442	1045	1314
443	1048	1312
444	1051	1311
445	1053	1308
446	1057	1308
447	1059	1305
448	1061	1303
449	1066	1303
450	1069	1301
451	1071	1298
452	1073	1296
453	1075	1293
454	1077	1290
455	1079	1287
456	1081	1284
457	1083	1282
458	1085	1279
459	1088	1278
460	1091	1275
461	1093	1273
462	1096	1271
463	1099	1270
464	1107	1274
465	1110	1271
466	1113	1271
467	1116	1269
468	1121	1270
469	1124	1267
470	1126	1265
471	1130	1265
472	1135	1264
473	1138	1263
474	1142	1263
475	1146	1262
476	1149	1260
477	1153	1260
478	1156	1257
479	1158	1254
480	1162	1254
481	1165	1252
482	1169	1251
483	1171	1248
484	1174	1247
485	1177	1244
486	1180	1243
487	1186	1245
488	1191	1244
489	1193	1242
490	1199	1243
491	1202	1241
492	1205	1239
493	1207	1236
494	1210	1235
495	1215	1235
496	1219	1234
497	1222	1232
498	1231	1236
499	1233	1233
500	1236	1231
501	1239	1229
502	1241	1226
503	1243	1224
504	1246	1221
505	1248	1218
506	1250	1215
507	1253	1213
508	1255	1211
509	1257	1208
510	1260	1206
511	1264	1204
512	1266	1201
513	1268	1199
514	1270	1196
515	1273	1194
516	1279	1195
517	1282	1193
518	1285	1191
519	1288	1189
520	1290	1186
521	1293	1184
522	1297	1183
523	1300	1181
524	1302	1178
525	1304	1175
526	1306	1172
527	1311	1172
528	1316	1171
529	1318	1169
530	1323	1168
531	1326	1166
532	1329	1165
533	1332	1162
534	1336	1161
535	1339	1159
536	1342	1157
537	1344	1154
538	1346	1152
539	1349	1149
540	1352	1147
541	1361	1150
542	1365	1149
543	1370	1148
544	1374	1147
545	1376	1144
546	1379	1142
547	1381	1139
548	1385	1137
549	1387	1135
550	1391	1134
551	1395	1132
552	1397	1129
553	1400	1127
554	1409	1130
555	1414	1129
556	1416	1126
557	1419	1124
558	1425	1124
559	1427	1121
560	1429	1118
561	1432	1116
562	1437	1115
563	1440	1113
564	1444	1112
565	1456	1116
566	1461	1115
567	1464	1113
568	1466	1110
569	1469	1108
570	1471	1105
571	1473	1102
572	1475	1099
573	1477	1096
574	1479	1093
575	1481	1090
576	1485	1088
577	1486	1085
578	1488	1082
579	1490	1079
580	1492	1076
581	1494	1073
582	1495	1069
583	1497	1066
584	1499	1063
585	1501	1060
586	1503	1057
587	1504	1054
588	1506	1050
589	1507	1047
590	1509	1044
591	1510	1041
592	1512	1038
593	1516	1036
594	1519	1033
595	1522	1031
596	1528	1031
597	1532	1030
598	1534	1027
599	1536	1024
600	1538	1021
601	1540	1018
602	1544	1017
603	1550	1016
604	1554	1014
605	1556	1011
606	1557	1008
607	1559	1005
608	1561	1002
609	1563	999
610	1565	996
611	1567	993
612	1569	990
613	1571	987
614	1573	984
615	1576	982
616	1578	979
617	1580	976
618	1582	973
619	1585	971
620	1587	968
621	1589	966
622	1592	963
623	1595	961
624	1597	958
625	1599	955
626	1602	953
627	1605	951
628	1610	950
629	1614	948
630	1618	946
631	1622	944
632	1625	942
633	1627	939
634	1630	936
635	1633	934
636	1636	932
637	1639	930
638	1644	928
639	1648	927
640	1652	925
641	1656	923
642	1659	921
643	1661	918
644	1663	915
645	1669	914
646	1673	912
647	1675	910
648	1677	907
649	1679	904
650	1682	901
651	1685	899
652	1689	897
653	1692	895
654	1695	892
655	1697	890
656	1700	888
657	1703	885
658	1705	882
659	1708	880
660	1717	880
661	1721	879
662	1725	877
663	1731	875
664	1736	874
665	1740	873
666	1744	871
667	1749	869
668	1753	867
669	1755	864
670	1776	871
671	1781	869
672	1785	867
673	1795	868
674	1804	869
675	1807	866
676	1811	864
677	1815	862
678	1821	860
679	1824	858
680	1830	857
681	1834	855
682	1838	853
683	1840	850
684	1843	847
685	1846	845
686	1848	842
687	1851	839
688	1854	836
689	1856	834
690	1859	831
691	1862	829
692	1865	826
693	1867	823
694	1869	820
695	1871	817
696	1873	814
