iter	Passed	Remaining
0	132	132498
1	134	67041
2	135	45047
3	136	34052
4	138	27462
5	139	23066
6	141	20031
7	142	17714
8	144	15925
9	145	14439
10	147	13240
11	148	12227
12	149	11364
13	150	10620
14	151	9980
15	153	9413
16	154	8922
17	155	8502
18	158	8171
19	160	7862
20	162	7560
21	163	7265
22	164	7002
23	166	6752
24	167	6551
25	169	6352
26	172	6200
27	173	6024
28	174	5850
29	175	5687
30	176	5532
31	178	5388
32	179	5259
33	180	5130
34	181	5011
35	182	4897
36	184	4792
37	185	4695
38	187	4616
39	188	4527
40	189	4443
41	191	4362
42	192	4279
43	193	4201
44	194	4126
45	195	4056
46	196	3989
47	197	3926
48	199	3865
49	200	3815
50	202	3769
51	203	3717
52	205	3663
53	206	3612
54	207	3562
55	208	3516
56	209	3470
57	210	3424
58	211	3379
59	212	3336
60	214	3295
61	215	3263
62	217	3240
63	219	3206
64	220	3171
65	221	3137
66	223	3107
67	224	3083
68	226	3055
69	227	3024
70	228	2993
71	229	2964
72	231	2940
73	233	2921
74	234	2891
75	235	2866
76	236	2839
77	238	2813
78	239	2789
79	240	2765
80	241	2742
81	242	2719
82	243	2695
83	245	2674
84	246	2654
85	248	2637
86	249	2614
87	250	2594
88	251	2573
89	252	2553
90	253	2533
91	254	2514
92	256	2497
93	257	2478
94	258	2461
95	259	2444
96	260	2428
97	262	2415
98	263	2400
99	264	2383
100	265	2366
101	266	2350
102	268	2335
103	269	2319
104	269	2300
105	270	2285
106	272	2270
107	273	2256
108	274	2242
109	275	2228
110	276	2214
111	277	2202
112	279	2190
113	280	2178
114	281	2165
115	282	2152
116	283	2140
117	285	2130
118	286	2118
119	287	2105
120	288	2094
121	289	2083
122	290	2071
123	291	2060
124	292	2048
125	294	2041
126	295	2031
127	296	2020
128	297	2010
129	298	1999
130	299	1989
131	300	1978
132	302	1968
133	303	1958
134	304	1949
135	305	1940
136	306	1930
137	307	1920
138	308	1913
139	310	1907
140	311	1898
141	312	1890
142	313	1881
143	315	1872
144	316	1864
145	317	1855
146	318	1847
147	320	1842
148	321	1836
149	322	1828
150	324	1821
151	325	1816
152	327	1814
153	329	1810
154	331	1807
155	333	1802
156	334	1795
157	335	1787
158	336	1780
159	337	1773
160	338	1765
161	340	1760
162	341	1755
163	342	1748
164	344	1741
165	345	1734
166	346	1728
167	347	1721
168	348	1715
169	349	1708
170	351	1702
171	352	1695
172	353	1689
173	354	1682
174	356	1679
175	357	1674
176	358	1667
177	359	1661
178	361	1655
179	362	1652
180	364	1650
181	366	1648
182	368	1646
183	370	1644
184	372	1642
185	374	1636
186	375	1631
187	377	1628
188	378	1625
189	380	1622
190	382	1618
191	384	1616
192	385	1612
193	387	1611
194	389	1608
195	391	1607
196	394	1608
197	397	1611
198	399	1608
199	402	1610
200	405	1613
201	408	1613
202	411	1617
203	414	1616
204	417	1617
205	419	1618
206	422	1617
207	424	1615
208	426	1614
209	428	1612
210	430	1610
211	434	1613
212	436	1613
213	438	1610
214	440	1609
215	442	1606
216	445	1606
217	447	1603
218	453	1616
219	456	1618
220	460	1623
221	464	1626
222	467	1629
223	470	1631
224	473	1629
225	476	1630
226	478	1629
227	481	1629
228	483	1628
229	486	1628
230	488	1626
231	490	1624
232	492	1622
233	494	1619
234	496	1617
235	499	1617
236	501	1614
237	503	1612
238	505	1609
239	507	1607
240	509	1605
241	511	1603
242	514	1602
243	517	1601
244	519	1599
245	521	1597
246	523	1594
247	525	1592
248	527	1589
249	529	1589
250	531	1586
251	534	1586
252	536	1584
253	538	1581
254	540	1578
255	542	1575
256	544	1574
257	547	1573
258	549	1570
259	550	1567
260	552	1564
261	554	1561
262	556	1558
263	558	1555
264	561	1558
265	563	1555
266	565	1551
267	566	1548
268	568	1544
269	570	1541
270	571	1537
271	573	1534
272	576	1534
273	578	1531
274	579	1527
275	581	1524
276	582	1520
277	584	1516
278	585	1513
279	587	1511
280	589	1508
281	592	1508
282	594	1506
283	596	1503
284	598	1500
285	599	1497
286	601	1494
287	603	1491
288	605	1488
289	607	1488
290	609	1485
291	611	1482
292	613	1480
293	615	1478
294	617	1475
295	619	1472
296	621	1470
297	623	1469
298	625	1466
299	626	1462
300	628	1459
301	630	1457
302	632	1455
303	634	1452
304	637	1452
305	639	1451
306	642	1449
307	644	1447
308	646	1445
309	648	1442
310	650	1441
311	654	1442
312	656	1440
313	658	1438
314	660	1436
315	662	1433
316	664	1431
317	666	1429
318	669	1429
319	671	1427
320	673	1424
321	675	1421
322	676	1418
323	678	1416
324	680	1413
325	682	1411
326	684	1409
327	686	1406
328	688	1403
329	689	1399
330	691	1397
331	692	1394
332	694	1391
333	696	1388
334	697	1384
335	700	1383
336	702	1381
337	716	1404
338	719	1403
339	721	1400
340	723	1397
341	725	1394
342	726	1392
343	728	1389
344	730	1387
345	733	1386
346	735	1383
347	736	1380
348	738	1378
349	740	1375
350	742	1372
351	744	1369
352	746	1368
353	747	1364
354	749	1362
355	751	1359
356	753	1356
357	754	1353
358	756	1350
359	757	1347
360	759	1344
361	761	1342
362	764	1341
363	766	1339
364	768	1336
365	769	1333
366	771	1330
367	773	1327
368	774	1324
369	776	1322
370	780	1322
371	781	1319
372	783	1316
373	784	1313
374	787	1311
375	789	1309
376	790	1306
377	793	1305
378	796	1304
379	797	1301
380	799	1299
381	801	1296
382	803	1294
383	805	1291
384	807	1289
385	809	1288
386	812	1286
387	813	1283
388	815	1281
389	816	1276
390	817	1274
391	819	1271
392	821	1268
393	823	1266
394	826	1266
395	828	1264
396	830	1261
397	831	1258
398	833	1255
399	835	1252
400	836	1249
401	838	1247
402	841	1245
403	843	1244
404	845	1242
405	848	1240
406	849	1238
407	851	1235
408	853	1233
409	855	1230
410	858	1230
411	860	1228
412	862	1225
413	864	1223
414	865	1220
415	867	1217
416	868	1214
417	870	1211
418	873	1211
419	875	1209
420	877	1207
421	879	1204
422	881	1201
423	882	1199
424	884	1197
425	888	1196
426	889	1193
427	890	1190
428	891	1186
429	893	1184
430	895	1181
431	896	1178
432	897	1175
433	898	1172
434	900	1169
435	901	1166
436	903	1164
437	905	1161
438	906	1158
439	908	1156
440	910	1153
441	912	1151
442	913	1148
443	915	1146
444	920	1147
445	922	1145
446	923	1142
447	924	1139
448	925	1136
449	927	1133
450	928	1130
451	929	1127
452	930	1124
453	932	1121
454	934	1119
455	935	1116
456	937	1113
457	938	1110
458	939	1107
459	941	1104
460	942	1101
461	943	1098
462	944	1095
463	945	1092
464	947	1089
465	949	1088
466	950	1085
467	952	1082
468	953	1079
469	954	1076
470	955	1073
471	957	1070
472	958	1067
473	959	1064
474	960	1061
475	962	1059
476	963	1056
477	965	1054
478	967	1052
479	968	1049
480	969	1046
481	970	1043
482	972	1040
483	973	1037
484	974	1035
485	975	1032
486	977	1029
487	978	1026
488	981	1025
489	983	1023
490	984	1020
491	986	1018
492	987	1015
493	988	1012
494	989	1009
495	991	1007
496	992	1004
497	993	1001
498	997	1001
499	998	998
500	1000	996
501	1002	994
502	1003	992
503	1005	989
504	1007	987
505	1009	985
506	1011	983
507	1013	981
508	1015	979
509	1016	976
510	1018	974
511	1019	971
512	1021	969
513	1022	966
514	1024	965
515	1029	965
516	1031	964
517	1033	961
518	1035	959
519	1036	957
520	1038	954
521	1040	952
522	1055	962
523	1056	959
524	1059	958
525	1061	956
526	1063	954
527	1064	951
528	1066	949
529	1067	946
530	1069	944
531	1070	941
532	1072	939
533	1076	939
534	1079	938
535	1082	936
536	1084	935
537	1087	933
538	1091	933
539	1095	932
540	1097	930
541	1099	929
542	1101	927
543	1104	925
544	1108	925
545	1110	923
546	1113	921
547	1114	919
548	1116	917
549	1119	915
550	1122	914
551	1124	912
552	1126	910
553	1128	908
554	1130	906
555	1132	904
556	1134	902
557	1137	901
558	1140	899
559	1143	898
560	1145	896
561	1147	894
562	1150	892
563	1154	892
564	1156	890
565	1158	888
566	1160	886
567	1162	884
568	1164	881
569	1165	879
570	1167	877
571	1170	875
572	1171	872
573	1173	870
574	1174	868
575	1176	866
576	1178	864
577	1180	861
578	1182	859
579	1184	857
580	1186	855
581	1189	854
582	1191	852
583	1193	850
584	1198	849
585	1205	851
586	1209	851
587	1214	851
588	1223	853
589	1227	853
590	1236	855
591	1242	856
592	1254	861
593	1259	860
594	1263	859
595	1269	860
596	1273	859
597	1276	858
598	1280	857
599	1285	857
600	1288	855
601	1291	854
602	1299	855
603	1302	854
604	1305	852
605	1307	850
606	1309	848
607	1313	846
608	1316	845
609	1319	843
610	1321	841
611	1323	838
612	1325	836
613	1329	835
614	1332	834
615	1334	832
616	1340	832
617	1351	835
618	1354	833
619	1356	831
620	1360	830
621	1363	828
622	1365	826
623	1367	824
624	1370	822
625	1372	819
626	1374	817
627	1378	816
628	1381	814
629	1384	812
630	1386	810
631	1387	808
632	1389	805
633	1393	804
634	1394	801
635	1396	799
636	1398	797
637	1400	794
638	1402	792
639	1404	789
640	1406	787
641	1409	785
642	1410	783
643	1412	780
644	1414	778
645	1416	776
646	1417	773
647	1419	771
648	1420	768
649	1423	766
650	1425	764
651	1426	761
652	1428	759
653	1430	756
654	1431	754
655	1433	751
656	1434	749
657	1436	746
658	1439	744
659	1441	742
660	1443	740
661	1445	737
662	1447	735
663	1449	733
664	1450	730
665	1452	728
666	1455	726
667	1457	724
668	1459	721
669	1461	719
670	1463	717
671	1464	715
672	1466	712
673	1471	711
674	1473	709
675	1475	707
676	1478	705
677	1480	703
678	1482	700
679	1486	699
680	1489	697
681	1491	695
682	1494	693
683	1497	691
684	1499	689
685	1502	687
686	1504	685
687	1508	684
688	1510	682
689	1513	680
690	1520	680
691	1523	678
692	1525	675
693	1527	673
694	1529	671
695	1533	670
696	1537	668
697	1540	666
698	1545	665
699	1551	665
700	1555	663
701	1558	661
702	1560	659
703	1563	657
704	1567	655
705	1575	656
706	1578	654
707	1582	652
708	1585	650
709	1589	649
710	1592	647
711	1593	644
712	1597	642
713	1598	640
714	1600	638
715	1602	635
716	1605	633
717	1607	631
718	1609	628
719	1613	627
720	1615	624
721	1617	622
722	1619	620
723	1621	617
724	1623	615
725	1625	613
726	1628	611
727	1630	609
728	1632	606
729	1634	604
730	1636	602
731	1638	599
732	1640	597
733	1642	595
734	1644	593
735	1646	590
736	1647	588
737	1649	585
738	1651	583
739	1652	580
740	1654	578
741	1656	576
742	1660	574
743	1661	571
744	1663	569
745	1665	567
746	1667	564
747	1669	562
748	1671	560
749	1675	558
750	1677	556
751	1678	553
752	1680	551
753	1682	549
754	1684	546
755	1685	544
756	1687	541
757	1690	539
758	1692	537
759	1693	534
760	1694	532
761	1696	529
762	1697	527
763	1698	524
764	1700	522
765	1701	519
766	1702	517
767	1705	515
768	1706	512
769	1708	510
770	1709	507
771	1710	505
772	1711	502
773	1713	500
774	1714	497
775	1716	495
776	1718	493
777	1721	491
778	1723	488
779	1725	486
780	1727	484
781	1729	482
782	1731	479
783	1733	477
784	1737	475
785	1739	473
786	1741	471
787	1743	469
788	1747	467
789	1749	464
790	1752	463
791	1755	461
792	1758	459
793	1760	456
794	1762	454
795	1764	452
796	1765	449
797	1769	447
798	1770	445
799	1772	443
800	1773	440
801	1775	438
802	1776	435
803	1778	433
804	1780	431
805	1781	428
806	1784	426
807	1786	424
808	1788	422
809	1790	419
810	1791	417
811	1793	415
812	1797	413
813	1800	411
814	1802	409
815	1804	406
816	1805	404
817	1807	402
818	1809	399
819	1811	397
820	1814	395
821	1816	393
822	1818	391
823	1822	389
824	1824	387
825	1826	384
826	1828	382
827	1832	380
828	1834	378
829	1836	376
830	1839	374
831	1841	371
832	1843	369
833	1846	367
834	1848	365
835	1850	363
836	1852	360
837	1854	358
838	1856	356
839	1858	353
840	1862	352
841	1864	349
842	1866	347
843	1868	345
844	1870	343
845	1871	340
846	1873	338
847	1877	336
848	1879	334
849	1881	332
850	1883	329
851	1885	327
852	1887	325
853	1889	323
854	1893	321
855	1897	319
856	1899	317
857	1902	314
858	1904	312
859	1906	310
860	1909	308
861	1912	306
862	1915	304
863	1917	301
864	1919	299
865	1921	297
866	1924	295
867	1926	292
868	1928	290
869	1930	288
870	1934	286
871	1936	284
872	1941	282
873	1943	280
874	1945	277
875	1947	275
876	1949	273
877	1951	271
878	1955	269
879	1957	266
880	1959	264
881	1960	262
882	1962	260
883	1963	257
884	1965	255
885	1966	253
886	1968	250
887	1971	248
888	1972	246
889	1974	244
890	1976	241
891	1978	239
892	1980	237
893	1982	235
894	1985	232
895	1987	230
896	1989	228
897	1991	226
898	1992	223
899	1994	221
900	1996	219
901	1998	217
902	2001	214
903	2003	212
904	2006	210
905	2009	208
906	2021	207
907	2024	205
908	2053	205
909	2057	203
910	2060	201
911	2063	199
912	2067	197
913	2069	194
914	2071	192
915	2074	190
916	2078	188
917	2083	186
918	2085	183
919	2087	181
920	2090	179
921	2092	177
922	2094	174
923	2096	172
924	2098	170
925	2100	167
926	2103	165
927	2105	163
928	2108	161
929	2111	158
930	2116	156
931	2119	154
932	2123	152
933	2125	150
934	2129	148
935	2133	145
936	2136	143
937	2140	141
938	2145	139
939	2149	137
940	2151	134
941	2153	132
942	2156	130
943	2158	128
944	2162	125
945	2164	123
946	2167	121
947	2169	118
948	2172	116
949	2174	114
950	2178	112
951	2179	109
952	2182	107
953	2184	105
954	2189	103
955	2193	100
956	2196	98
957	2198	96
958	2201	94
959	2204	91
960	2206	89
961	2210	87
962	2212	85
963	2214	82
964	2216	80
965	2218	78
966	2221	75
967	2224	73
968	2227	71
969	2229	68
970	2231	66
971	2234	64
972	2236	62
973	2239	59
974	2243	57
975	2248	55
976	2250	52
977	2252	50
978	2256	48
979	2259	46
980	2260	43
981	2262	41
982	2265	39
983	2267	36
984	2269	34
985	2273	32
986	2276	29
987	2278	27
988	2282	25
989	2288	23
990	2292	20
991	2296	18
992	2300	16
993	2305	13
994	2307	11
995	2309	9
996	2313	6
997	2317	4
998	2321	2
999	2324	0
