iter	Passed	Remaining
0	145	145329
1	147	73605
2	148	49420
3	150	37402
4	151	30131
5	152	25268
6	154	21883
7	155	19335
8	158	17405
9	161	15981
10	162	14634
11	163	13500
12	165	12541
13	167	11789
14	169	11121
15	171	10531
16	172	9977
17	174	9510
18	175	9073
19	177	8673
20	178	8315
21	179	7983
22	180	7683
23	182	7407
24	183	7155
25	185	6944
26	186	6732
27	188	6535
28	189	6355
29	191	6178
30	192	6026
31	194	5884
32	196	5746
33	197	5619
34	199	5490
35	200	5373
36	202	5261
37	203	5156
38	204	5048
39	206	4946
40	207	4850
41	208	4760
42	210	4674
43	211	4594
44	212	4514
45	213	4435
46	215	4359
47	216	4287
48	217	4216
49	219	4161
50	220	4098
51	221	4038
52	222	3978
53	224	3931
54	226	3883
55	227	3839
56	229	3794
57	230	3750
58	232	3701
59	233	3654
60	234	3613
61	236	3572
62	237	3530
63	238	3490
64	239	3451
65	241	3416
66	242	3382
67	244	3345
68	245	3307
69	246	3271
70	247	3235
71	248	3201
72	249	3174
73	251	3142
74	252	3110
75	253	3080
76	254	3051
77	255	3021
78	256	2993
79	257	2965
80	259	2940
81	260	2913
82	261	2887
83	262	2862
84	263	2838
85	265	2821
86	267	2802
87	268	2779
88	269	2756
89	270	2734
90	271	2712
91	272	2691
92	273	2669
93	274	2649
94	275	2628
95	277	2608
96	278	2588
97	279	2569
98	281	2558
99	282	2544
100	283	2527
101	285	2511
102	286	2496
103	287	2480
104	289	2465
105	290	2450
106	291	2436
107	293	2422
108	294	2406
109	295	2392
110	296	2377
111	297	2362
112	299	2347
113	300	2332
114	301	2317
115	302	2302
116	303	2288
117	304	2274
118	305	2261
119	306	2247
120	307	2234
121	308	2221
122	309	2208
123	311	2199
124	312	2190
125	313	2177
126	314	2165
127	316	2153
128	317	2141
129	318	2129
130	319	2118
131	320	2106
132	321	2095
133	322	2085
134	323	2074
135	325	2069
136	330	2084
137	332	2077
138	334	2069
139	335	2060
140	337	2054
141	339	2048
142	340	2040
143	342	2035
144	343	2027
145	345	2018
146	346	2010
147	347	2002
148	349	1995
149	350	1988
150	352	1979
151	353	1970
152	354	1961
153	355	1952
154	356	1944
155	358	1937
156	359	1929
157	360	1920
158	361	1912
159	362	1904
160	363	1896
161	365	1888
162	366	1880
163	367	1872
164	368	1864
165	369	1857
166	370	1849
167	373	1847
168	375	1846
169	378	1847
170	380	1845
171	381	1838
172	383	1831
173	384	1823
174	385	1816
175	386	1809
176	387	1802
177	388	1796
178	390	1788
179	391	1782
180	392	1775
181	393	1767
182	394	1760
183	395	1754
184	396	1747
185	397	1740
186	398	1734
187	399	1727
188	401	1724
189	403	1719
190	404	1715
191	406	1710
192	408	1706
193	409	1701
194	411	1699
195	413	1695
196	414	1690
197	416	1686
198	418	1683
199	420	1681
200	422	1678
201	424	1675
202	425	1672
203	427	1668
204	429	1666
205	431	1662
206	433	1662
207	436	1661
208	438	1659
209	440	1657
210	442	1654
211	444	1651
212	445	1647
213	462	1700
214	465	1699
215	468	1700
216	471	1700
217	474	1702
218	476	1700
219	478	1696
220	480	1693
221	482	1691
222	484	1689
223	486	1687
224	488	1684
225	490	1681
226	492	1677
227	494	1674
228	496	1670
229	497	1666
230	499	1663
231	502	1661
232	503	1658
233	505	1655
234	507	1652
235	509	1649
236	511	1646
237	513	1643
238	515	1641
239	518	1640
240	521	1641
241	524	1641
242	526	1638
243	527	1635
244	529	1632
245	532	1632
246	534	1629
247	537	1628
248	539	1626
249	541	1625
250	543	1621
251	545	1618
252	547	1617
253	549	1613
254	551	1610
255	553	1607
256	555	1605
257	556	1601
258	558	1599
259	561	1596
260	563	1594
261	565	1591
262	566	1588
263	568	1585
264	570	1582
265	572	1579
266	574	1576
267	576	1573
268	578	1572
269	580	1568
270	582	1566
271	584	1563
272	585	1559
273	587	1555
274	588	1552
275	590	1548
276	591	1544
277	594	1544
278	596	1540
279	597	1535
280	598	1530
281	599	1527
282	601	1523
283	602	1519
284	604	1517
285	606	1514
286	608	1511
287	610	1510
288	612	1506
289	614	1504
290	616	1501
291	617	1497
292	619	1494
293	620	1490
294	622	1487
295	624	1484
296	626	1482
297	627	1478
298	629	1475
299	630	1471
300	632	1468
301	633	1465
302	635	1462
303	637	1459
304	639	1456
305	641	1454
306	642	1451
307	644	1448
308	646	1445
309	647	1442
310	649	1439
311	651	1436
312	653	1433
313	654	1430
314	657	1429
315	659	1427
316	661	1426
317	663	1423
318	665	1419
319	666	1416
320	667	1412
321	669	1409
322	673	1410
323	674	1408
324	676	1405
325	677	1401
326	679	1398
327	682	1397
328	683	1395
329	685	1392
330	689	1394
331	691	1391
332	693	1388
333	694	1385
334	696	1383
335	698	1380
336	700	1377
337	702	1376
338	705	1374
339	706	1372
340	708	1369
341	710	1366
342	712	1364
343	713	1361
344	715	1357
345	716	1354
346	720	1356
347	722	1353
348	724	1350
349	726	1348
350	727	1345
351	729	1343
352	730	1339
353	732	1337
354	737	1339
355	739	1337
356	741	1334
357	743	1333
358	745	1331
359	747	1329
360	752	1331
361	754	1329
362	756	1326
363	757	1324
364	759	1321
365	761	1318
366	762	1315
367	764	1312
368	767	1313
369	770	1311
370	771	1308
371	773	1305
372	775	1303
373	776	1300
374	778	1298
375	782	1298
376	785	1297
377	787	1296
378	789	1293
379	791	1290
380	792	1288
381	794	1284
382	795	1282
383	800	1283
384	801	1281
385	803	1277
386	804	1275
387	806	1272
388	808	1269
389	809	1266
390	811	1263
391	814	1263
392	817	1262
393	818	1259
394	820	1256
395	821	1253
396	823	1250
397	824	1247
398	826	1244
399	829	1243
400	830	1240
401	832	1238
402	833	1235
403	835	1232
404	837	1229
405	838	1226
406	839	1223
407	841	1220
408	843	1218
409	845	1217
410	847	1214
411	848	1211
412	850	1208
413	851	1205
414	853	1202
415	854	1200
416	856	1197
417	858	1195
418	861	1194
419	863	1192
420	864	1189
421	866	1187
422	868	1184
423	870	1182
424	872	1180
425	875	1179
426	877	1177
427	879	1175
428	881	1173
429	883	1170
430	884	1168
431	887	1166
432	889	1165
433	892	1163
434	893	1161
435	896	1159
436	898	1157
437	900	1155
438	902	1153
439	904	1151
440	908	1151
441	910	1149
442	912	1147
443	914	1145
444	916	1143
445	918	1141
446	920	1138
447	922	1137
448	924	1134
449	926	1132
450	928	1130
451	930	1128
452	932	1126
453	936	1125
454	939	1125
455	944	1126
456	946	1124
457	947	1121
458	949	1119
459	951	1116
460	954	1115
461	956	1113
462	957	1111
463	959	1108
464	961	1105
465	962	1103
466	964	1100
467	965	1097
468	966	1094
469	967	1091
470	969	1089
471	971	1086
472	973	1084
473	975	1082
474	976	1079
475	978	1077
476	980	1074
477	982	1072
478	983	1069
479	985	1067
480	987	1065
481	990	1064
482	992	1062
483	994	1060
484	996	1058
485	998	1055
486	1001	1054
487	1003	1052
488	1005	1050
489	1006	1047
490	1007	1044
491	1009	1041
492	1010	1039
493	1011	1036
494	1013	1033
495	1014	1030
496	1016	1028
497	1017	1025
498	1018	1022
499	1019	1019
500	1021	1017
501	1022	1014
502	1024	1011
503	1025	1009
504	1027	1006
505	1028	1004
506	1030	1001
507	1032	1000
508	1034	997
509	1035	995
510	1037	992
511	1038	989
512	1039	986
513	1040	984
514	1042	981
515	1043	978
516	1044	975
517	1048	975
518	1049	973
519	1051	970
520	1053	968
521	1054	966
522	1056	963
523	1058	961
524	1059	958
525	1060	955
526	1063	954
527	1064	951
528	1066	949
529	1068	947
530	1070	945
531	1072	943
532	1073	940
533	1075	938
534	1076	935
535	1079	934
536	1081	932
537	1083	930
538	1085	928
539	1087	926
540	1090	925
541	1096	926
542	1098	924
543	1100	922
544	1102	920
545	1104	918
546	1106	916
547	1108	914
548	1111	912
549	1112	910
550	1114	908
551	1116	906
552	1119	904
553	1122	903
554	1126	903
555	1128	901
556	1131	899
557	1133	897
558	1135	895
559	1136	893
560	1138	890
561	1142	890
562	1144	888
563	1147	886
564	1149	885
565	1154	885
566	1165	890
567	1168	888
568	1175	890
569	1182	892
570	1185	890
571	1187	888
572	1192	888
573	1194	886
574	1196	884
575	1198	882
576	1200	880
577	1203	878
578	1208	878
579	1210	876
580	1214	875
581	1222	878
582	1225	876
583	1228	874
584	1232	874
585	1238	875
586	1243	874
587	1248	875
588	1255	875
589	1259	875
590	1271	879
591	1275	879
592	1278	877
593	1282	876
594	1287	876
595	1289	874
596	1292	872
597	1294	870
598	1298	869
599	1303	869
600	1305	867
601	1307	864
602	1309	862
603	1311	859
604	1313	857
605	1315	855
606	1317	853
607	1319	850
608	1321	848
609	1323	846
610	1325	844
611	1327	841
612	1329	839
613	1330	836
614	1334	835
615	1335	832
616	1337	830
617	1339	827
618	1341	825
619	1343	823
620	1345	820
621	1347	819
622	1350	817
623	1352	814
624	1354	812
625	1356	810
626	1357	807
627	1359	805
628	1361	803
629	1366	802
630	1368	800
631	1372	798
632	1374	796
633	1376	794
634	1381	794
635	1384	792
636	1387	790
637	1389	788
638	1391	786
639	1397	785
640	1400	784
641	1402	782
642	1404	779
643	1406	777
644	1408	775
645	1410	772
646	1412	770
647	1415	768
648	1417	766
649	1420	764
650	1421	762
651	1423	759
652	1425	757
653	1428	755
654	1430	753
655	1432	751
656	1434	748
657	1435	746
658	1437	743
659	1439	741
660	1440	738
661	1443	737
662	1445	734
663	1447	732
664	1448	729
665	1450	727
666	1452	725
667	1454	722
668	1456	720
669	1459	718
670	1461	716
671	1463	714
672	1464	711
673	1466	709
674	1468	707
675	1470	704
676	1471	702
677	1475	700
678	1477	698
679	1479	696
680	1481	693
681	1482	691
682	1484	689
683	1486	686
684	1488	684
685	1492	683
686	1494	680
687	1495	678
688	1497	676
689	1499	673
690	1501	671
691	1503	669
692	1506	667
693	1509	665
694	1511	663
695	1514	661
696	1516	659
697	1521	658
698	1524	656
699	1527	654
700	1528	652
701	1531	650
702	1536	649
703	1540	647
704	1542	645
705	1545	643
706	1549	642
707	1554	641
708	1556	638
709	1561	637
710	1566	636
711	1579	638
712	1581	636
713	1587	635
714	1589	633
715	1591	631
716	1593	629
717	1595	626
718	1597	624
719	1602	623
720	1604	620
721	1607	618
722	1609	616
723	1611	614
724	1613	612
725	1622	612
726	1627	610
727	1635	610
728	1638	609
729	1644	608
730	1650	607
731	1654	605
732	1657	603
733	1666	604
734	1671	602
735	1676	601
736	1683	600
737	1687	599
738	1690	597
739	1695	595
740	1700	594
741	1704	592
742	1708	590
743	1718	591
744	1722	589
745	1729	588
746	1732	586
747	1736	585
748	1740	583
749	1743	581
750	1748	579
751	1751	577
752	1753	575
753	1755	572
754	1758	570
755	1760	568
756	1764	566
757	1766	564
758	1768	561
759	1771	559
760	1775	557
761	1779	555
762	1783	553
763	1785	551
764	1788	549
765	1790	546
766	1792	544
767	1796	542
768	1797	540
769	1799	537
770	1801	535
771	1805	533
772	1810	531
773	1818	531
774	1820	528
775	1822	526
776	1826	524
777	1828	521
778	1830	519
779	1832	516
780	1835	514
781	1837	512
782	1841	510
783	1844	508
784	1846	505
785	1849	503
786	1851	501
787	1854	498
788	1861	497
789	1865	495
790	1869	493
791	1875	492
792	1879	490
793	1883	488
794	1888	487
795	1891	484
796	1893	482
797	1895	479
798	1897	477
799	1899	474
800	1902	472
801	1907	470
802	1911	468
803	1914	466
804	1917	464
805	1921	462
806	1925	460
807	1928	458
808	1930	455
809	1932	453
810	1936	451
811	1941	449
812	1942	446
813	1944	444
814	1945	441
815	1947	439
816	1948	436
817	1950	433
818	1953	431
819	1955	429
820	1957	426
821	1958	424
822	1960	421
823	1962	419
824	1964	416
825	1968	414
826	1970	412
827	1972	409
828	1974	407
829	1976	404
830	1978	402
831	1980	399
832	1985	398
833	1987	395
834	1989	393
835	1991	390
836	1994	388
837	1996	386
838	2000	383
839	2006	382
840	2009	379
841	2011	377
842	2016	375
843	2018	373
844	2020	370
845	2023	368
846	2026	366
847	2030	363
848	2032	361
849	2034	359
850	2037	356
851	2038	354
852	2040	351
853	2042	349
854	2043	346
855	2046	344
856	2047	341
857	2049	339
858	2051	336
859	2052	334
860	2054	331
861	2056	329
862	2058	326
863	2061	324
864	2063	322
865	2065	319
866	2067	317
867	2069	314
868	2071	312
869	2073	309
870	2074	307
871	2077	304
872	2079	302
873	2082	300
874	2085	297
875	2088	295
876	2090	293
877	2093	290
878	2095	288
879	2097	286
880	2099	283
881	2102	281
882	2109	279
883	2114	277
884	2118	275
885	2121	272
886	2124	270
887	2129	268
888	2132	266
889	2134	263
890	2142	262
891	2147	259
892	2152	257
893	2158	255
894	2162	253
895	2171	252
896	2174	249
897	2176	247
898	2179	244
899	2183	242
900	2185	240
901	2188	237
902	2190	235
903	2194	233
904	2196	230
905	2199	228
906	2202	225
907	2206	223
908	2209	221
909	2211	218
910	2214	216
911	2216	213
912	2217	211
913	2219	208
914	2222	206
915	2224	203
916	2226	201
917	2230	199
918	2232	196
919	2235	194
920	2238	192
921	2240	189
922	2244	187
923	2246	184
924	2248	182
925	2250	179
926	2252	177
927	2254	174
928	2256	172
929	2259	170
930	2262	167
931	2264	165
932	2266	162
933	2269	160
934	2271	157
935	2276	155
936	2278	153
937	2281	150
938	2284	148
939	2286	145
940	2290	143
941	2293	141
942	2295	138
943	2311	137
944	2315	134
945	2320	132
946	2324	130
947	2327	127
948	2329	125
949	2332	122
950	2335	120
951	2339	117
952	2342	115
953	2344	113
954	2346	110
955	2348	108
956	2350	105
957	2351	103
958	2354	100
959	2357	98
960	2359	95
961	2362	93
962	2364	90
963	2367	88
964	2375	86
965	2377	83
966	2382	81
967	2387	78
968	2391	76
969	2395	74
970	2399	71
971	2407	69
972	2409	66
973	2412	64
974	2414	61
975	2417	59
976	2419	56
977	2421	54
978	2422	51
979	2424	49
980	2425	46
981	2427	44
982	2429	42
983	2430	39
984	2432	37
985	2434	34
986	2436	32
987	2437	29
988	2439	27
989	2441	24
990	2442	22
991	2444	19
992	2445	17
993	2447	14
994	2450	12
995	2452	9
996	2453	7
997	2455	4
998	2457	2
999	2459	0
