iter	Passed	Remaining
0	144	144409
1	146	73309
2	148	49469
3	151	37612
4	153	30504
5	155	25811
6	158	22427
7	160	19950
8	163	18034
9	165	16431
10	168	15119
11	170	14023
12	172	13090
13	174	12292
14	177	11630
15	179	11047
16	181	10502
17	183	10012
18	185	9578
19	187	9184
20	189	8826
21	192	8567
22	195	8298
23	197	8029
24	199	7799
25	201	7565
26	204	7352
27	207	7206
28	209	7023
29	211	6845
30	214	6694
31	216	6537
32	218	6388
33	220	6258
34	223	6149
35	225	6028
36	227	5932
37	230	5823
38	232	5718
39	234	5622
40	237	5551
41	239	5471
42	242	5403
43	244	5322
44	246	5239
45	248	5159
46	250	5085
47	252	5015
48	256	4970
49	258	4917
50	261	4861
51	264	4820
52	267	4781
53	270	4736
54	272	4688
55	275	4637
56	277	4584
57	279	4532
58	281	4482
59	284	4451
60	285	4402
61	287	4355
62	289	4310
63	291	4265
64	293	4220
65	294	4174
66	296	4132
67	299	4102
68	301	4066
69	303	4029
70	306	4015
71	309	3983
72	310	3949
73	316	3960
74	320	3957
75	323	3929
76	325	3902
77	328	3877
78	332	3878
79	334	3849
80	337	3825
81	340	3806
82	341	3777
83	344	3754
84	346	3728
85	348	3705
86	353	3709
87	356	3691
88	358	3673
89	362	3662
90	364	3639
91	367	3627
92	369	3606
93	371	3584
94	374	3570
95	379	3574
96	382	3562
97	385	3544
98	388	3535
99	391	3524
100	395	3520
101	397	3500
102	400	3489
103	402	3469
104	405	3452
105	407	3437
106	410	3424
107	413	3415
108	414	3391
109	417	3374
110	419	3359
111	422	3347
112	424	3330
113	427	3319
114	429	3306
115	432	3293
116	434	3277
117	436	3262
118	438	3247
119	441	3234
120	443	3221
121	445	3208
122	447	3193
123	450	3180
124	452	3164
125	454	3150
126	457	3141
127	459	3127
128	461	3112
129	463	3102
130	465	3087
131	467	3077
132	470	3068
133	473	3058
134	476	3050
135	478	3036
136	480	3023
137	481	3009
138	483	2994
139	485	2979
140	486	2965
141	488	2951
142	490	2937
143	492	2924
144	493	2911
145	495	2899
146	497	2888
147	499	2874
148	501	2861
149	502	2848
150	504	2837
151	506	2825
152	508	2813
153	510	2801
154	511	2786
155	512	2771
156	513	2757
157	514	2741
158	515	2726
159	516	2711
160	517	2697
161	519	2688
162	521	2679
163	523	2667
164	524	2655
165	526	2642
166	527	2629
167	528	2615
168	529	2602
169	530	2589
170	531	2576
171	532	2563
172	534	2554
173	535	2543
174	537	2531
175	538	2519
176	539	2507
177	540	2495
178	541	2484
179	542	2472
180	544	2462
181	545	2450
182	546	2440
183	547	2428
184	550	2424
185	552	2417
186	554	2409
187	556	2402
188	557	2393
189	559	2386
190	561	2378
191	563	2371
192	565	2364
193	567	2355
194	568	2347
195	570	2339
196	571	2331
197	573	2323
198	575	2316
199	576	2307
200	579	2302
201	581	2298
202	583	2291
203	585	2283
204	586	2276
205	588	2266
206	589	2258
207	590	2249
208	592	2241
209	594	2235
210	596	2229
211	597	2219
212	598	2212
213	600	2205
214	602	2198
215	603	2191
216	605	2185
217	607	2179
218	608	2171
219	610	2162
220	612	2158
221	614	2152
222	615	2145
223	617	2138
224	618	2131
225	620	2124
226	622	2118
227	623	2110
228	624	2102
229	626	2096
230	629	2093
231	630	2087
232	632	2081
233	634	2076
234	637	2073
235	639	2068
236	640	2061
237	641	2054
238	644	2051
239	645	2045
240	647	2039
241	649	2034
242	651	2029
243	653	2024
244	654	2018
245	656	2012
246	659	2009
247	661	2004
248	662	1999
249	664	1993
250	666	1988
251	667	1982
252	669	1976
253	670	1969
254	671	1962
255	672	1955
256	674	1951
257	676	1945
258	678	1940
259	679	1934
260	681	1929
261	683	1924
262	685	1920
263	686	1914
264	688	1909
265	691	1906
266	692	1901
267	694	1897
268	696	1892
269	698	1888
270	700	1884
271	702	1879
272	703	1874
273	707	1873
274	709	1869
275	711	1865
276	712	1860
277	713	1854
278	715	1847
279	716	1841
280	717	1835
281	718	1829
282	719	1823
283	722	1820
284	723	1815
285	725	1810
286	727	1806
287	728	1801
288	729	1795
289	730	1789
290	732	1783
291	733	1778
292	734	1772
293	737	1770
294	739	1768
295	741	1762
296	742	1757
297	744	1753
298	745	1748
299	747	1743
300	748	1737
301	749	1733
302	751	1728
303	754	1726
304	755	1721
305	756	1715
306	757	1710
307	758	1704
308	760	1699
309	761	1694
310	762	1689
311	763	1684
312	764	1678
313	766	1673
314	768	1670
315	769	1665
316	771	1661
317	772	1657
318	774	1652
319	776	1649
320	777	1645
321	779	1640
322	780	1635
323	781	1631
324	784	1629
325	786	1625
326	787	1621
327	789	1618
328	791	1613
329	792	1608
330	793	1604
331	794	1599
332	796	1595
333	798	1593
334	800	1589
335	802	1585
336	803	1580
337	804	1575
338	805	1571
339	807	1566
340	808	1562
341	809	1558
342	811	1554
343	812	1549
344	814	1547
345	816	1542
346	817	1538
347	818	1534
348	820	1529
349	821	1525
350	822	1520
351	823	1516
352	824	1512
353	826	1507
354	827	1504
355	830	1501
356	831	1497
357	832	1493
358	834	1489
359	835	1484
360	836	1480
361	837	1475
362	838	1471
363	839	1467
364	840	1462
365	842	1458
366	843	1454
367	845	1451
368	846	1447
369	847	1443
370	848	1439
371	849	1434
372	850	1430
373	852	1426
374	853	1422
375	853	1417
376	855	1412
377	856	1408
378	857	1404
379	858	1400
380	859	1396
381	861	1393
382	862	1389
383	864	1386
384	865	1383
385	867	1379
386	868	1376
387	870	1372
388	872	1369
389	873	1366
390	877	1367
391	880	1366
392	882	1363
393	884	1360
394	886	1357
395	887	1353
396	888	1350
397	890	1346
398	892	1343
399	893	1339
400	895	1336
401	896	1334
402	898	1331
403	900	1328
404	902	1325
405	903	1322
406	905	1318
407	907	1316
408	909	1313
409	910	1310
410	911	1306
411	912	1302
412	914	1300
413	916	1297
414	918	1294
415	920	1292
416	923	1290
417	925	1288
418	927	1286
419	929	1283
420	930	1280
421	932	1276
422	933	1273
423	934	1269
424	935	1265
425	936	1262
426	938	1259
427	940	1256
428	941	1252
429	942	1249
430	944	1246
431	945	1243
432	947	1240
433	948	1236
434	949	1233
435	950	1230
436	952	1226
437	954	1224
438	956	1222
439	957	1219
440	959	1216
441	961	1213
442	963	1211
443	965	1208
444	967	1206
445	969	1204
446	971	1201
447	973	1199
448	974	1196
449	975	1192
450	977	1189
451	978	1186
452	979	1182
453	980	1179
454	982	1176
455	983	1173
456	986	1171
457	988	1169
458	989	1166
459	991	1164
460	993	1161
461	995	1159
462	997	1157
463	999	1154
464	1002	1152
465	1004	1150
466	1006	1148
467	1007	1145
468	1009	1142
469	1010	1139
470	1011	1136
471	1013	1133
472	1014	1130
473	1015	1127
474	1018	1125
475	1019	1122
476	1020	1119
477	1021	1115
478	1022	1112
479	1023	1109
480	1025	1106
481	1026	1102
482	1027	1099
483	1028	1096
484	1029	1093
485	1032	1091
486	1034	1089
487	1035	1086
488	1036	1083
489	1038	1080
490	1039	1077
491	1040	1074
492	1041	1071
493	1042	1068
494	1045	1066
495	1047	1064
496	1048	1061
497	1050	1058
498	1051	1055
499	1052	1052
500	1053	1049
501	1054	1045
502	1055	1042
503	1056	1039
504	1057	1036
505	1059	1034
506	1060	1031
507	1063	1030
508	1065	1027
509	1066	1024
510	1067	1021
511	1068	1018
512	1070	1015
513	1071	1012
514	1072	1010
515	1074	1007
516	1076	1006
517	1079	1004
518	1081	1002
519	1083	999
520	1085	998
521	1087	995
522	1089	993
523	1090	990
524	1092	988
525	1095	987
526	1097	984
527	1098	981
528	1099	979
529	1101	976
530	1103	974
531	1105	972
532	1106	969
533	1110	969
534	1112	966
535	1114	964
536	1115	961
537	1119	960
538	1121	958
539	1123	956
540	1125	955
541	1127	952
542	1129	950
543	1133	950
544	1136	948
545	1139	947
546	1141	945
547	1143	943
548	1146	941
549	1148	939
550	1150	937
551	1152	935
552	1154	932
553	1157	931
554	1158	929
555	1160	926
556	1162	924
557	1164	922
558	1165	919
559	1167	917
560	1169	915
561	1172	913
562	1174	911
563	1175	908
564	1177	906
565	1178	903
566	1180	901
567	1181	898
568	1182	895
569	1183	893
570	1185	890
571	1187	888
572	1188	885
573	1190	883
574	1194	882
575	1196	880
576	1197	878
577	1199	875
578	1200	873
579	1203	871
580	1204	868
581	1206	866
582	1207	863
583	1208	861
584	1210	858
585	1211	855
586	1212	853
587	1213	850
588	1215	847
589	1216	845
590	1218	843
591	1220	841
592	1222	839
593	1224	836
594	1226	834
595	1227	832
596	1229	829
597	1231	827
598	1233	825
599	1235	823
600	1237	821
601	1238	818
602	1240	816
603	1241	813
604	1242	811
605	1243	808
606	1244	806
607	1246	803
608	1250	802
609	1251	800
610	1253	798
611	1255	795
612	1257	793
613	1258	791
614	1260	788
615	1261	786
616	1264	784
617	1266	782
618	1268	780
619	1270	778
620	1272	776
621	1273	774
622	1275	771
623	1278	770
624	1286	771
625	1288	769
626	1290	767
627	1292	765
628	1297	765
629	1300	763
630	1302	761
631	1304	759
632	1308	758
633	1311	756
634	1313	755
635	1316	753
636	1320	752
637	1324	751
638	1328	750
639	1331	748
640	1334	747
641	1336	745
642	1338	742
643	1340	740
644	1342	738
645	1347	738
646	1349	736
647	1352	734
648	1354	732
649	1356	730
650	1361	729
651	1363	727
652	1367	726
653	1370	725
654	1373	723
655	1377	722
656	1380	720
657	1383	719
658	1386	717
659	1393	718
660	1397	716
661	1400	715
662	1403	713
663	1408	712
664	1410	710
665	1413	708
666	1415	706
667	1419	705
668	1423	704
669	1426	702
670	1429	700
671	1431	698
672	1433	696
673	1435	694
674	1440	693
675	1442	691
676	1446	689
677	1449	688
678	1452	686
679	1460	687
680	1463	685
681	1466	683
682	1469	681
683	1471	679
684	1473	677
685	1476	675
686	1478	673
687	1481	671
688	1486	670
689	1488	668
690	1490	666
691	1492	664
692	1494	662
693	1496	659
694	1499	657
695	1502	656
696	1505	654
697	1507	652
698	1509	650
699	1511	647
700	1513	645
701	1515	643
702	1518	641
703	1520	639
704	1522	637
705	1525	635
706	1527	632
707	1529	630
708	1531	628
709	1535	627
710	1537	624
711	1539	622
712	1541	620
713	1543	618
714	1545	616
715	1548	614
716	1550	612
717	1552	609
718	1555	607
719	1557	605
720	1559	603
721	1561	601
722	1563	599
723	1565	596
724	1567	594
725	1569	592
726	1571	590
727	1574	588
728	1575	585
729	1577	583
730	1579	581
731	1581	578
732	1582	576
733	1584	574
734	1585	571
735	1587	569
736	1589	567
737	1591	564
738	1593	562
739	1595	560
740	1598	558
741	1600	556
742	1602	554
743	1603	551
744	1605	549
745	1607	547
746	1609	545
747	1612	543
748	1614	540
749	1616	538
750	1618	536
751	1620	534
752	1621	532
753	1623	529
754	1625	527
755	1628	525
756	1629	523
757	1631	520
758	1633	518
759	1635	516
760	1636	514
761	1638	511
762	1641	509
763	1643	507
764	1645	505
765	1647	503
766	1649	501
767	1651	498
768	1652	496
769	1654	494
770	1655	491
771	1658	489
772	1660	487
773	1661	485
774	1663	482
775	1664	480
776	1666	478
777	1667	475
778	1669	473
779	1671	471
780	1674	469
781	1676	467
782	1678	465
783	1680	463
784	1682	460
785	1684	458
786	1685	456
787	1686	453
788	1688	451
789	1690	449
790	1692	447
791	1694	444
792	1695	442
793	1697	440
794	1699	438
795	1700	435
796	1702	433
797	1703	431
798	1705	429
799	1707	426
800	1709	424
801	1710	422
802	1713	420
803	1714	418
804	1716	415
805	1717	413
806	1718	411
807	1721	408
808	1722	406
809	1724	404
810	1726	402
811	1727	400
812	1729	397
813	1731	395
814	1732	393
815	1734	391
816	1736	389
817	1738	386
818	1740	384
819	1741	382
820	1743	380
821	1745	377
822	1747	375
823	1749	373
824	1752	371
825	1755	369
826	1757	367
827	1759	365
828	1761	363
829	1762	361
830	1764	358
831	1765	356
832	1768	354
833	1769	352
834	1771	350
835	1773	347
836	1775	345
837	1777	343
838	1779	341
839	1781	339
840	1784	337
841	1786	335
842	1788	333
843	1791	331
844	1793	328
845	1795	326
846	1797	324
847	1799	322
848	1801	320
849	1805	318
850	1807	316
851	1809	314
852	1810	312
853	1812	309
854	1814	307
855	1816	305
856	1818	303
857	1820	301
858	1822	299
859	1824	296
860	1825	294
861	1828	292
862	1832	290
863	1835	288
864	1836	286
865	1838	284
866	1839	282
867	1840	279
868	1841	277
869	1843	275
870	1844	273
871	1846	271
872	1848	268
873	1850	266
874	1851	264
875	1854	262
876	1855	260
877	1857	258
878	1861	256
879	1865	254
880	1867	252
881	1869	250
882	1872	248
883	1877	246
884	1881	244
885	1883	242
886	1886	240
887	1888	238
888	1890	235
889	1894	234
890	1899	232
891	1903	230
892	1906	228
893	1910	226
894	1913	224
895	1915	222
896	1916	220
897	1917	217
898	1918	215
899	1920	213
900	1921	211
901	1923	209
902	1925	206
903	1926	204
904	1928	202
905	1930	200
906	1931	198
907	1932	195
908	1933	193
909	1934	191
910	1935	189
911	1937	186
912	1939	184
913	1941	182
914	1942	180
915	1943	178
916	1944	176
917	1946	173
918	1948	171
919	1949	169
920	1950	167
921	1951	165
922	1953	162
923	1955	160
924	1957	158
925	1958	156
926	1959	154
927	1960	152
928	1962	150
929	1964	147
930	1965	145
931	1967	143
932	1968	141
933	1970	139
934	1972	137
935	1973	134
936	1975	132
937	1976	130
938	1977	128
939	1978	126
940	1980	124
941	1981	121
942	1982	119
943	1984	117
944	1986	115
945	1987	113
946	1988	111
947	1990	109
948	1992	107
949	1994	104
950	1995	102
951	1997	100
952	2001	98
953	2003	96
954	2005	94
955	2007	92
956	2008	90
957	2009	88
958	2010	85
959	2011	83
960	2012	81
961	2013	79
962	2015	77
963	2017	75
964	2019	73
965	2020	71
966	2021	68
967	2022	66
968	2023	64
969	2024	62
970	2026	60
971	2027	58
972	2028	56
973	2030	54
974	2032	52
975	2034	50
976	2035	47
977	2037	45
978	2038	43
979	2040	41
980	2042	39
981	2043	37
982	2044	35
983	2049	33
984	2051	31
985	2052	29
986	2054	27
987	2055	24
988	2056	22
989	2057	20
990	2059	18
991	2060	16
992	2062	14
993	2064	12
994	2066	10
995	2068	8
996	2069	6
997	2071	4
998	2072	2
999	2073	0
