iter	Logloss
0	0.6879852436
1	0.6826390867
2	0.6762176796
3	0.6709621571
4	0.666458695
5	0.6612707774
6	0.6560743826
7	0.6513378002
8	0.6473351938
9	0.6426299766
10	0.6374111882
11	0.6329608493
12	0.6277855767
13	0.6225222835
14	0.617898164
15	0.6129040188
16	0.6083531556
17	0.6035999722
18	0.598901678
19	0.5943700296
20	0.5901947375
21	0.5850692325
22	0.5799889388
23	0.5756901282
24	0.5711975098
25	0.5674523601
26	0.5632486697
27	0.5590451558
28	0.5543509589
29	0.5507426439
30	0.5473130191
31	0.5428394388
32	0.5397112811
33	0.5359456098
34	0.5320910348
35	0.5281990193
36	0.5242968665
37	0.5208757189
38	0.5174114792
39	0.5140403112
40	0.5103099611
41	0.5065814831
42	0.5030078888
43	0.4998287272
44	0.4966071094
45	0.4934776447
46	0.4901995129
47	0.486672578
48	0.4835100174
49	0.4803820716
50	0.4777948591
51	0.4756808458
52	0.4724127098
53	0.469544658
54	0.4665424206
55	0.4633581727
56	0.4603888194
57	0.4577478126
58	0.4545080397
59	0.4517097826
60	0.4490418258
61	0.4465220063
62	0.4439994318
63	0.4423786446
64	0.4398334644
65	0.4367320449
66	0.4343739262
67	0.4319431164
68	0.4298861468
69	0.4272528754
70	0.424759229
71	0.4223462564
72	0.4204841896
73	0.4177635334
74	0.4155261075
75	0.4129533414
76	0.4106240802
77	0.4081647661
78	0.4057157305
79	0.403853805
80	0.4017104749
81	0.399356842
82	0.3975085153
83	0.3954906464
84	0.3932801353
85	0.3909794136
86	0.3886683076
87	0.3867298056
88	0.384709994
89	0.3827087967
90	0.3807463116
91	0.3780849245
92	0.375961551
93	0.3739526537
94	0.3714302204
95	0.3699182934
96	0.3681524771
97	0.3660448569
98	0.3646655966
99	0.3625287656
100	0.3608737522
101	0.3593341686
102	0.3574524279
103	0.3554243512
104	0.3535275636
105	0.3514557591
106	0.3497750318
107	0.3478688841
108	0.3465029399
109	0.3443277147
110	0.3424631401
111	0.341117647
112	0.33962716
113	0.3378934507
114	0.336659714
115	0.3349323979
116	0.3331882336
117	0.3315244957
118	0.3298209508
119	0.3276901245
120	0.3261766081
121	0.324935136
122	0.3234050186
123	0.3220019164
124	0.3201169614
