iter	Passed	Remaining
0	9	9472
1	15	7927
2	26	8766
3	42	10646
4	54	10826
5	60	10081
6	64	9149
7	68	8463
8	71	7855
9	74	7349
10	79	7134
11	85	7004
12	87	6655
13	89	6331
14	94	6215
15	99	6124
16	102	5916
17	104	5708
18	107	5562
19	110	5405
20	114	5330
21	118	5272
22	120	5121
23	122	4979
24	125	4880
25	131	4924
26	134	4839
27	137	4783
28	140	4715
29	145	4705
30	148	4649
31	151	4577
32	153	4502
33	155	4426
34	160	4422
35	163	4369
36	166	4321
37	180	4566
38	182	4489
39	184	4430
40	186	4366
41	188	4303
42	193	4317
43	196	4273
44	199	4242
45	202	4192
46	204	4145
47	212	4218
48	215	4179
49	217	4130
50	219	4086
51	225	4109
52	230	4120
53	233	4091
54	236	4056
55	241	4077
56	244	4051
57	247	4015
58	249	3975
59	251	3937
60	255	3937
61	258	3910
62	260	3875
63	262	3845
64	264	3809
65	266	3772
66	272	3798
67	274	3766
68	276	3736
69	278	3705
70	281	3685
71	289	3737
72	291	3706
73	293	3675
74	295	3645
75	297	3614
76	298	3582
77	301	3567
78	304	3545
79	305	3517
80	307	3489
81	309	3460
82	310	3432
83	312	3408
84	314	3381
85	316	3367
86	318	3346
87	320	3322
88	322	3296
89	323	3270
90	325	3252
91	328	3240
92	330	3221
93	333	3213
94	335	3195
95	337	3175
96	338	3153
97	340	3136
98	342	3116
99	355	3200
100	357	3180
101	358	3160
102	360	3139
103	363	3128
104	366	3122
105	368	3107
106	370	3094
107	373	3081
108	374	3057
109	375	3041
110	378	3033
111	383	3037
112	385	3023
113	386	3005
114	388	2988
115	389	2971
116	391	2954
117	393	2941
118	397	2945
119	400	2937
120	402	2922
121	404	2910
122	406	2897
123	409	2892
124	412	2888
125	415	2879
126	417	2867
127	418	2852
128	420	2837
129	421	2822
130	423	2809
131	425	2800
132	429	2798
133	431	2786
134	433	2775
135	435	2765
136	437	2754
137	439	2744
138	444	2750
139	446	2742
140	448	2732
141	450	2722
142	452	2712
143	454	2701
144	457	2697
145	460	2692
146	462	2683
147	464	2671
148	465	2661
149	467	2650
150	469	2641
151	473	2643
152	478	2647
153	481	2643
154	483	2634
155	485	2625
156	489	2630
157	493	2631
158	495	2620
159	497	2611
160	499	2604
161	504	2610
162	508	2612
163	510	2602
164	512	2592
165	514	2582
166	516	2577
167	521	2582
168	524	2578
169	526	2569
170	527	2559
171	529	2550
172	531	2541
173	533	2533
174	537	2534
175	539	2525
176	541	2516
177	542	2506
178	544	2497
179	546	2487
180	547	2478
181	550	2473
182	552	2466
183	554	2458
184	555	2449
185	557	2439
186	559	2432
187	561	2423
188	562	2414
189	564	2406
190	567	2402
191	569	2394
192	571	2387
193	573	2382
194	575	2375
195	577	2367
196	579	2361
197	582	2358
198	584	2352
199	587	2349
200	589	2344
201	592	2341
202	594	2335
203	598	2336
204	601	2331
205	603	2326
206	605	2319
207	607	2313
208	610	2309
209	615	2316
210	618	2314
211	621	2308
212	623	2304
213	625	2298
214	635	2319
215	639	2321
216	642	2320
217	646	2317
218	648	2311
219	650	2307
220	653	2302
221	655	2297
222	657	2291
223	663	2297
224	666	2296
225	669	2293
226	673	2292
227	684	2317
228	687	2314
229	693	2322
230	698	2323
231	702	2325
232	706	2325
233	710	2326
234	714	2326
235	717	2322
236	719	2315
237	722	2312
