회사명,거래소코드,회계년도,종가(원),보통주(천원),시총,상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)ES큐브,50120,12-10,2385,23243905,55436713425,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-11,2120,23243905,49277078600,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-12,3430,23393158,80238531940,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-13,1540,36493326,56199722040,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-14,1395,36493326,50908189770,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-15,1605,36493326,58571788230,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-16,1705,41621527,70964703535,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-17,1030,83243054,85740345620,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-18,668,83243054,55606360072,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-19,852,83088255,70791193260,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)ES큐브,50120,12-20,558,135640864,75687602112,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)가비아,79940,12-10,3050,12735684,38843836200,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-11,3950,12735684,50305951800,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-12,4035,13335684,53809484940,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-13,4790,13335684,63877926360,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-14,6420,13535684,86899091280,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-15,7130,13535684,96509426920,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-16,5840,13535684,79048394560,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-17,5870,13535684,79454465080,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-18,6360,13535684,86086950240,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-19,8280,13535684,1.12075E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가비아,79940,12-20,13150,13535684,1.77994E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)가온칩스,399720,12-18,,40000,0,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    반도체 제조업
(주)가온칩스,399720,12-19,,40000,0,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    반도체 제조업
(주)가온칩스,399720,12-20,,80000,0,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    반도체 제조업
(주)강원에너지,114190,11-10,4345,5300000,23028500000,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,11-11,4530,5300000,24009000000,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,12-12,4405,10600000,46693000000,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,12-13,2205,12666826,27930351330,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,12-14,2105,14390962,30292975010,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,12-15,2870,15253030,43776196100,제조업,  금속가공제품 제조업; 기계 및 가구 제외,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
