회사명,거래소코드,회계년도,종가(원),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),시총
(주)CMG제약,58820,12-21,3835,138892244,5.32652E+11
(주)CMG제약,58820,12-21,3835,138892244,5.32652E+11
(주)ES큐브,50120,12-21,4960,13564086,67277866560
(주)ES큐브,50120,12-21,4960,13564086,67277866560
(주)가비아,79940,12-21,13500,13535684,1.82732E+11
(주)가비아,79940,12-21,13500,13535684,1.82732E+11
(주)가온칩스,399720,12-21,,,0
(주)강스템바이오텍,217730,12-21,3270,38005424,1.24278E+11
(주)강스템바이오텍,217730,12-21,3270,37937925,1.24057E+11
(주)강스템바이오텍,217730,12-21,3270,67499,220721730
(주)강원에너지,114190,12-21,2500,0,0
(주)강원에너지,114190,12-21,2500,26123038,65307595000
(주)강원에너지,114190,12-21,2500,26123038,65307595000
(주)고려시멘트,198440,12-21,3850,31979960,1.23123E+11
(주)고려시멘트,198440,12-21,3850,31979960,1.23123E+11
(주)고바이오랩,348150,12-21,20600,18022274,3.71259E+11
(주)고바이오랩,348150,12-21,20600,1751715,36085329000
(주)고바이오랩,348150,12-21,20600,16270559,3.35174E+11
(주)고영테크놀러지,98460,12-21,23700,68654755,1.62712E+12
(주)고영테크놀러지,98460,12-21,23700,68654755,1.62712E+12
(주)골드앤에스,35290,12-21,1305,36223910,47272202550
(주)골드앤에스,35290,12-21,1305,36223910,47272202550
(주)골드퍼시픽,38530,12-21,1290,83267529,1.07415E+11
(주)골드퍼시픽,38530,12-21,1290,83267529,1.07415E+11
(주)골프존,215000,12-21,174800,0,0
(주)골프존,215000,12-21,174800,6275415,1.09694E+12
(주)골프존,215000,12-21,174800,6275415,1.09694E+12
(주)골프존뉴딘홀딩스,121440,12-21,8930,42836818,3.82533E+11
(주)골프존뉴딘홀딩스,121440,12-21,8930,0,0
(주)골프존뉴딘홀딩스,121440,12-21,8930,42836818,3.82533E+11
(주)공구우먼,366030,12-21,,2518500,0
(주)공구우먼,366030,12-21,,2518500,0
(주)광림,14200,12-21,2010,75241358,1.51235E+11
(주)광림,14200,12-21,2010,75241358,1.51235E+11
(주)광무,29480,12-21,1375,113955215,1.56688E+11
(주)광무,29480,12-21,1375,113955215,1.56688E+11
(주)구영테크,53270,12-21,3340,26394174,88156541160
(주)구영테크,53270,12-21,3340,26394174,88156541160
(주)국보디자인,66620,12-21,21000,7500000,1.575E+11
(주)국보디자인,66620,12-21,21000,7500000,1.575E+11
(주)국순당,43650,12-21,9130,17858304,1.63046E+11
(주)국순당,43650,12-21,9130,17858304,1.63046E+11
(주)국영지앤엠,6050,12-21,1840,34895243,64207247120
(주)국영지앤엠,6050,12-21,1840,34895243,64207247120
(주)국전약품,307750,12-21,10950,49069269,5.37308E+11
(주)국전약품,307750,12-21,10950,49069269,5.37308E+11
(주)그래디언트,35080,12-21,5420,81189163,4.40045E+11
(주)그래디언트,35080,12-21,5420,81189163,4.40045E+11
(주)그리티,204020,12-21,2645,0,0
(주)그리티,204020,12-21,2645,20147430,53289952350
(주)그리티,204020,12-21,2645,20147430,53289952350
(주)그린플러스,186230,12-21,15750,11854670,1.86711E+11
(주)그린플러스,186230,12-21,15750,1034482,16293091500
(주)그린플러스,186230,12-21,15750,10820188,1.70418E+11
(주)글로벌스탠다드테크놀로지,83450,12-21,37650,9317745,3.50813E+11
(주)글로벌스탠다드테크놀로지,83450,12-21,37650,9317745,3.50813E+11
